id,strategy_name,trade_duration,market_name,symbol,market_category,signal_direction,signal_opening_price,signal_high_price,signal_low_price,signal_closing_price,signal_sma_num,signal_average_price,signal_date,signal_date_day,signal_date_num_day,signal_date_month,signal_date_num_month,signal_date_year,opening_price,starting_date,opening_date_day,opening_date_num_day,opening_date_month,opening_date_num_month,opening_date_year,ending_date,closing_price,closing_hit_after_days,closing_date_day,closing_date_num_day,closing_date_month,closing_date_num_month,closing_date_year,min_lows,min_date,min_hit_after_days,min_date_day,min_date_num_day,min_date_month,min_date_num_month,min_date_year,min_diff_to_open,max_highs,max_date,max_hit_after_days,max_date_day,max_date_num_day,max_date_month,max_date_num_month,max_date_year,max_diff_to_open,min_max_diff,profit,singal_price_diff_to_sma,signal_position_to_sma,gap_size_ontrade_date,gap_position,cumulative_return,sl_is_sl_hit,sl_date,sl_date_day,sl_date_num_day,sl_date_month,sl_date_num_month,sl_date_year,sl_hit_after,sl_closing,sl_loss,sl_count,tp_is_hit,tp_date,tp_date_day,tp_date_num_day,tp_date_month,tp_date_num_month,tp_date_year,tp_hit_after,tp_closing,tp_gain,tp_count
1,ttm,1,stock,spy,sp_100_daily,Bear,237.18,237.24,236.19,236.9,207.641,236.715,2017-03-14,Tuesday,2,March,2,2017,237.56,2017-03-15,Wednesday,3,March,2,2017,2017-03-16,238.48,1,Thursday,4,March,2,2017,237.29,2017-03-15,0,Wednesday,3,March,2,2017,0.27,239.44,2017-03-15,0,Wednesday,3,March,2,2017,1.88,-2.15,-0.92,29.074,1,0.66,1,-0.3872705843,1,2017-03-15,Wednesday,3,March,2,2017,0,238.95,-1.39,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,ttm,1,stock,spy,sp_100_daily,Bear,235.8,236.03,233.91,235.33,210.0585,234.97,2017-04-03,Monday,1,April,3,2017,235,2017-04-04,Tuesday,2,April,3,2017,2017-04-05,234.78,1,Wednesday,3,April,3,2017,234.54,2017-04-05,1,Wednesday,3,April,3,2017,0.46,237.39,2017-04-05,1,Wednesday,3,April,3,2017,2.39,-2.85,0.22,24.9115,1,-0.33,-1,0.09361702128,1,2017-04-04,Wednesday,3,April,3,2017,0,235.48,-0.48,1,1,2017-04-05,Wednesday,3,April,3,2017,1,234.78,0.22,1
3,ttm,1,stock,spy,sp_100_daily,Bear,242.9,244.19,242.2,242.71,221.9984,243.195,2017-08-18,Friday,5,August,7,2017,242.64,2017-08-21,Monday,1,August,7,2017,2017-08-22,245.44,1,Tuesday,2,August,7,2017,241.83,2017-08-21,0,Monday,1,August,7,2017,0.81,245.62,2017-08-22,1,Tuesday,2,August,7,2017,2.98,-3.79,-2.8,21.1966,1,-0.07,-1,-1.153972964,1,2017-08-21,Tuesday,2,August,7,2017,0,242.9,-0.26,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,ttm,1,stock,spy,sp_100_daily,Bear,268.81,269.06,265.61,266.61,247.1527,267.335,2018-04-20,Friday,5,April,3,2018,267.26,2018-04-23,Monday,1,April,3,2018,2018-04-24,262.98,1,Tuesday,2,April,3,2018,261.28,2018-04-24,1,Tuesday,2,April,3,2018,5.98,267.98,2018-04-24,1,Tuesday,2,April,3,2018,0.72,-6.7,4.28,20.1823,1,0.65,1,1.601436803,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-04-23,Tuesday,2,April,3,2018,0,266.57,0.69,2
5,ttm,1,stock,spy,sp_100_daily,Bear,283.71,283.82,280.38,281.42,254.3631,282.1,2018-07-27,Friday,5,July,6,2018,281.51,2018-07-30,Monday,1,July,6,2018,2018-07-31,281.33,1,Tuesday,2,July,6,2018,279.36,2018-07-30,0,Monday,1,July,6,2018,2.15,282.02,2018-07-31,1,Tuesday,2,July,6,2018,0.51,-2.66,0.18,27.7369,1,0.09,1,0.0639408902,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-07-30,Tuesday,2,July,6,2018,0,279.95,1.56,2
6,ttm,1,stock,spy,sp_100_daily,Bear,265.92,269.97,262.44,269.84,258.0526,266.205,2018-12-06,Thursday,4,December,11,2018,269.46,2018-12-07,Friday,5,December,11,2018,2018-12-10,264.07,1,Monday,1,December,11,2018,258.62,2018-12-10,1,Monday,1,December,11,2018,10.84,271.22,2018-12-07,0,Friday,5,December,11,2018,1.76,-12.6,5.39,8.1524,1,-0.38,-1,2.00029689,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2018-12-07,Friday,5,December,11,2018,0,263.57,5.89,2
7,ttm,1,stock,spy,sp_100_daily,Bear,290.15,290.81,285.81,287.93,266.7889,288.31,2019-05-07,Tuesday,2,May,4,2019,287.53,2019-05-08,Wednesday,3,May,4,2019,2019-05-09,286.66,1,Thursday,4,May,4,2019,283.3,2019-05-09,1,Thursday,4,May,4,2019,4.23,289.43,2019-05-08,0,Wednesday,3,May,4,2019,1.9,-6.13,0.87,21.5211,1,-0.4,-1,0.3025771224,1,2019-05-08,Wednesday,3,May,4,2019,0,287.53,0,1,1,2019-05-09,Wednesday,3,May,4,2019,1,286.66,0.87,1
8,ttm,1,stock,spy,sp_100_daily,Bear,284.06,285.96,283.12,283.95,268.0154,284.54,2019-05-20,Monday,1,May,4,2019,285.83,2019-05-21,Tuesday,2,May,4,2019,2019-05-22,285.63,1,Wednesday,3,May,4,2019,285.1,2019-05-22,1,Wednesday,3,May,4,2019,0.73,286.93,2019-05-21,0,Tuesday,2,May,4,2019,1.1,-1.83,0.2,16.5246,1,1.88,1,0.06997166148,1,2019-05-21,Tuesday,2,May,4,2019,0,286.51,-0.68,1,1,2019-05-22,Tuesday,2,May,4,2019,1,285.63,0.2,1
9,ttm,1,stock,spy,sp_100_daily,Bear,283.16,283.21,280.57,282.14,268.3358,281.89,2019-05-23,Thursday,4,May,4,2019,283.74,2019-05-24,Friday,5,May,4,2019,2019-05-28,280.15,1,Tuesday,2,May,4,2019,280.13,2019-05-28,1,Tuesday,2,May,4,2019,3.61,284.2,2019-05-24,0,Friday,5,May,4,2019,0.46,-4.07,3.59,13.5542,1,1.6,1,1.265242828,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-05-24,Friday,5,May,4,2019,0,282.78,0.96,2
10,ttm,1,stock,spy,sp_100_daily,Bear,299.91,301.17,299.49,300.72,274.1006,300.33,2019-07-30,Tuesday,2,July,6,2019,300.99,2019-07-31,Wednesday,3,July,6,2019,2019-08-01,294.84,1,Thursday,4,August,7,2019,293.96,2019-08-01,1,Thursday,4,August,7,2019,7.03,301.2,2019-07-31,0,Wednesday,3,July,6,2019,0.21,-7.24,6.15,26.2294,1,0.27,1,2.043257251,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-07-31,Wednesday,3,July,6,2019,0,297.43,3.56,2
